name,formula,neutralMass,SMILES,InChIKey,adduct,mz,rt,intControl,logP,comment,hasFragments,fragments_mz,fragments_int,fragments_formula,fragments_pre
Cyclophosphamide_d6,C7H9D6Cl2N2O2P,266.0625,,,[M+H]+,267.0698,715.2,80150.25,,,TRUE,44.0498515680073;46.0710118553637;60.0748096557779;61.0810817582118;62.0872455408321;62.9993030040926;63.0945749946194;64.1003216349094;64.1029233209726;70.0651882027064;78.0088774272383;94.0014429429261;96.0174833324249;104.024551129833;106.039457743445;106.041849563609;107.042102923572;126.054436869557;126.057522868988;126.060918216148;140.002053470431;142.018167603768;173.02085588862;235.010283614652;235.01302580548;267.069122596859;267.111878902623;267.117913800668,34.0393538475037;19.756016837226;22.2313679589166;165.508500946893;31.4370128843519;204.824588139852;14.8432761298286;16.5838801066081;93.1046758227878;18.8232113520304;33.0313618977865;55.7795391082764;18.3687814076742;13.9539321263631;22.2688950432671;236.884795188904;12.918344285753;16.5046548843384;63.7690318425496;12.648630672031;483.550975587633;168.285634570652;10.0874235365126;24.6247503492567;125.727458318075;1088.83963182237;10.6592343648275;33.0186489952935,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Ibuprofen_d3,C13H15O2D3,209.1495,,,[M+H]+,210.1568,1108.2,8526.29362,,,TRUE,41.0388545765635;43.0173468086532;43.0541177246915;55.0179346844365;55.0539114025239;57.0700414582615;67.0531501542357;68.9967082201228;69.0333558981138;69.0695490219138;77.0397481195582;79.0527309524259;81.0704880704493;83.0487518093476;91.05381125505;93.0683266487997;107.086073727183;123.043948091388;125.095220811887;135.078746518436;153.090137080471;209.153299155157,156.461438829937;26.395754132952;22.2285450526646;17.8778642926897;67.6602045922052;483.862494514102;15.0589609297495;159.059290356106;16.4981008257185;58.4505738455152;12.7030440739223;14.8511227804517;13.355556155008;22.2098556700207;20.7660959107535;19.8871324932764;22.9244553702218;11.9159995185004;49.1611608777727;14.9598628150092;105.060936216324;1157.23462156266,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Diclophenac_d4,C14H7Cl2NO2D4,299.0418,,,[M+H]+,300.0491,1127.4,37023.28646,,,TRUE,180.071712944096;180.074730387717;180.080950258544;181.081108180772;182.091386459011;183.094463567327;183.098193058354;184.104016905785;216.054620909469;217.057479505262;217.060307996053;217.06282470444;218.066801397971;219.073680376038;219.077319535133;253.036653605668;254.043066256643;282.037007040451;300.04742020663,10.4638892279731;13.6612563663059;11.6870473225911;16.0883080164591;45.2963304519653;20.7979896863302;43.5029504564073;33.2651880052355;42.7040379842122;41.6031549241808;369.087838543786;107.342300203111;2444.31905661689;1301.28429932064;17.6256467501322;78.853064748976;687.943605211046;116.803802596198;45.0450976424747,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Metoprolol_d7,C15H18D7NO3,274.2274,,,[M+H]+,275.2347,622.2,2467039.083,,,TRUE,43.0179049610438;45.0336102916895;45.0560014541499;46.0702408222052;50.098317837287;56.049536362165;57.0557755025436;64.1022531957306;74.0599390831009;75.0658722649208;77.037997047452;78.1184003223994;79.0542281224732;79.1243694816205;91.0531257078052;91.0551305243648;93.0683881595124;93.139626546453;103.054173552527;104.061349280254;105.068058660509;105.070470562894;105.139664402345;115.054053832426;116.062362853264;121.063029389576;121.065454329772;122.069547817115;122.072128397373;122.143370594772;123.15065756217;131.08455145201;133.06165292573;133.064014273923;133.067155211784;135.078697181647;159.077113834099;159.080577570928;165.089460134299;177.113387574558;191.106437963077;225.195831846541;225.199552449147;227.150302685002;257.225306659521;274.228797211568;275.234853380838,36.1223840117455;42.1595114257601;14.0158744653066;80.2621542082893;142.128902334637;232.290595270528;366.334039297369;80.0304111348258;120.796071112156;241.923476273484;115.605186736584;43.5809191332923;116.278643483586;355.851423446337;92.4194875611199;45.0395757993062;12.2208279927572;15.8932859288322;225.67457883358;10.3721709357368;39.0311461687088;110.653675646252;240.106418156624;47.2915942509969;12.1443300035265;87.4142578893238;51.612770541509;80.0021805988418;35.3808001677195;29.8984776708815;405.347459125519;35.3232605073187;12.4773596869575;156.686011530293;19.9057122177548;16.7367502411207;13.3813903331757;130.755462095473;19.2104251570172;13.2219778696696;167.987410524156;25.9782524585724;19.5043845176697;25.0061356782913;14.5951914522383;265.193750084771;3059.11529091729,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Sulfamethoxazol_d4,C10D4H7N3O3S,257.0772,,,[M+H]+,258.0845,682.8,212849.2083,,,TRUE,40.0295515429138;44.0495404984425;68.0575744954414;69.0638877977625;70.0713605246784;72.0440536054459;83.0676788026146;84.0739493765088;95.065758983542;95.0680511488225;96.0736918620436;97.0813504320821;98.0890097906015;99.0543187607303;111.061333123188;111.083708928492;112.069007524711;150.094225441727;150.097900081335;151.103400259269;151.106104768159;152.10914789312;152.112673602945;159.030285719231;160.0362282772;164.110251455152;164.11286426473;192.106489529199;194.121305955379;194.124750912959;198.059882523678;198.063113526936;258.083013253071;258.086220417849,14.2076582378811;42.4507026319151;340.285852856106;256.477998618726;12.2560415267944;10.7323651137175;12.6533954540888;139.762152883742;17.3244948298843;12.5907763728389;806.64721192254;240.820074734864;22.3941400316026;151.791368519818;12.9779387580024;20.0494545830621;732.851580160635;36.618890091225;37.064104574698;105.640390643367;21.0815143585205;11.0926506254408;19.914518126735;20.6112698625635;494.687173136958;90.4381559469082;23.4532074221858;92.2397140396966;14.3529698937028;10.580611900047;10.8589099954676;20.546970155504;191.23975054423;109.836477209021,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
Isoproturon_d6,C12H12D6N2O,212.1796,,,[M+H]+,213.1869,928.2,1728129.333,,,TRUE,41.0387110658854;43.0542520069846;50.0873143069741;52.1031366526982;58.0256378579946;65.0385290664463;77.0366463124698;77.0391024152387;78.0820735406511;78.1221940057096;91.0537295707286;92.0498278794116;107.084926804411;115.053768578233;118.064129811722;119.071374929983;134.095381915893;162.091196406431;171.138643475551;171.140589352039;213.186669229805,46.0581177547301;50.996270479009;82.5236366863507;1635.27833323659;35.7480643136161;14.7270444793142;17.3694700053614;38.8559305426256;2814.16719919654;14.6099212027004;118.172301251082;26.5972716898563;13.4592031122564;14.0663078585242;10.1278900873093;14.9084567493863;58.0678006417876;10.959925666688;124.723661003532;155.149065044482;916.208016699487,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Diuron_d6,C9H4D6Cl2N2O,238.0547,,,[M+H]+,239.062,937.2,214392.1615,,,TRUE,50.0869778199965;52.1030576523864;58.0252838124784;78.0819241289036;125.002989144916;132.95944210573;144.959044344313;152.996611982518;159.967490110301;159.971567096849;239.061959110366,58.2428991529677;884.153139326308;18.6405519556116;1698.73268918638;10.3193839744285;36.2971001731025;10.1107480084455;10.2040186281557;27.3771027812251;36.4358359442817;478.21391748499,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Carbamazepin_d10,C15H2N2OD10,246.1577,,,[M+H]+,247.165,839.4,625672.9167,,,TRUE,121.078188196428;122.087618035649;158.096277019553;158.100315622601;159.105516943186;160.110883590778;172.110923469419;172.113428984564;173.116046267292;173.119695378567;174.116041353099;174.119802795718;174.122450280194;174.12545610631;175.122913427574;176.140476245085;176.143134036456;184.102904748808;185.106949563296;185.112598617105;185.118292998735;186.116361044447;186.11988301351;187.121575837071;187.123867269921;188.1269449879;188.130994119486;198.116708118968;199.118727481101;199.122188849271;199.12760394256;200.128254953937;200.131184055162;200.133568425609;201.134658240119;201.137884176628;202.140602544886;202.14463834459;203.148211996487;203.151954708002;204.159085332142;205.161841529406;246.159216253551;247.165026083932,10.9107701735063;13.943325661168;17.7592178489223;24.5117629311301;40.9833304549709;15.0266202290853;17.1129672021577;16.8408054583;15.3766625491056;81.5531446948196;18.9557210517652;19.9093070290305;23.033248167327;51.7132166544596;38.7509224458174;44.4698846296831;15.9247604138923;12.0641657511393;16.1822344693271;10.631623470422;16.9940635218765;136.648107783;16.6141128540039;90.0999040545839;100.107539621989;18.1277226303563;12.146151340369;12.3582381855358;12.9896020889282;60.128501736034;10.1626567262592;81.3950787226359;65.2867053638805;10.3515614827474;34.1182077812426;354.712308964585;30.5408263928962;613.40357168949;48.7047353224321;250.324285518762;2081.71889713172;15.5498979857474;57.5827414772727;1094.13436131333,,FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
Clarithromycin_d3,C38H66D3NO13,750.4957,,,[M+H]+,751.503,889.2,21956.66667,,,FALSE,,,,
Naproxen_d3,C14H11D3O3,233.1131,,,[M+H]+,234.1204,990,3716.238118,,,FALSE,,,,
